fold,model,accuracy,precision,recall,recall_class_0,recall_class_1,f1_score,auc
1,RandomForest,0.908305648,0.92688172,0.972911964,0.420454545,0.972911964,0.949339207,0.908015682
1,LogisticRegression,0.905647841,0.924231594,0.972911964,0.397727273,0.972911964,0.947947214,0.909176414
2,RandomForest,0.911627907,0.935860058,0.966139955,0.5,0.966139955,0.950758978,0.922194576
2,LogisticRegression,0.904983389,0.925394548,0.970654628,0.409090909,0.970654628,0.947484392,0.915909946
3,RandomForest,0.904983389,0.926005747,0.969902182,0.414772727,0.969902182,0.947445792,0.881485567
3,LogisticRegression,0.903654485,0.919858156,0.975921746,0.357954545,0.975921746,0.947060971,0.87847151
4,RandomForest,0.904983389,0.927849928,0.967644846,0.431818182,0.967644846,0.94732965,0.900104316
4,LogisticRegression,0.902325581,0.922746781,0.970654628,0.386363636,0.970654628,0.946094609,0.893075792
5,RandomForest,0.9089701,0.928109274,0.972138554,0.435028249,0.972138554,0.949613829,0.89789029
5,LogisticRegression,0.909634551,0.926934097,0.97439759,0.423728814,0.97439759,0.950073421,0.896012014
,,,,,,,,
 Mean metrics by model ,,,,,,,,
model,fold,accuracy,precision,recall,recall_class_0,recall_class_1,f1_score,auc
LogisticRegression,3,0.905249,0.923833,0.972908,0.394973,0.972908,0.947732,0.898529
RandomForest,3,0.907774,0.928941,0.969748,0.440415,0.969748,0.948897,0.901938
